step,t_zone,t_zone_next,p_total,a0_raw,a1_raw,t_amb,q_internal,t_zone_true,t_next_true,p_true,latency_steps,sensor_bias
254,29.5942,28.9781,578.01,0.00909,0.71906,5.044,34.2,28.9197,34.8747,609.74,1,0.5
255,35.5442,35.2556,317.0,-0.34935,0.36595,5.616,40.44,34.8747,29.1137,312.4,1,0.5
256,29.6478,29.8117,351.53,-0.27054,0.39226,3.612,69.93,29.1137,26.6921,356.98,1,0.5
257,27.767,26.8552,336.85,-0.25021,0.31023,0.863,30.11,26.6921,23.4126,345.31,1,0.5
258,24.1426,23.7647,332.72,-0.29462,0.35831,8.477,107.15,23.4126,25.1687,336.78,1,0.5
259,25.1257,25.576,121.17,-0.67429,0.03833,1.721,21.06,25.1687,15.6927,118.88,1,0.5
260,16.1408,15.5993,6.03,-0.92088,-0.7835,4.903,60.61,15.6927,10.2036,6.02,1,0.5
261,10.6251,10.8257,152.7,-0.32198,-0.34415,1.142,49.31,10.2036,10.0,156.3,1,0.5
262,10.6161,10.3112,922.09,0.49047,0.7532,5.475,70.45,10.0,29.4817,918.5,1,0.5
263,30.122,30.2429,838.04,0.53375,0.6128,6.888,52.64,29.4817,40.0,869.48,1,0.5
264,40.2586,40.4161,32.42,0.31246,-0.93164,9.63,55.13,40.0,24.2048,31.54,1,0.5
265,24.5512,24.9782,24.97,-0.17164,-0.91508,1.858,34.04,24.2048,12.4936,24.72,1,0.5
266,13.0532,13.1602,526.61,0.78749,-0.14806,4.222,51.25,12.4936,21.5742,535.28,1,0.5
267,22.0874,22.2009,280.51,-0.29614,0.13158,5.203,49.44,21.5742,20.6064,279.96,1,0.5
268,21.427,21.1811,635.41,0.42012,0.26485,12.014,42.44,20.6064,31.9146,631.38,1,0.5
269,32.6685,32.1988,448.26,-0.0296,0.33942,8.777,48.1,31.9146,33.426,456.87,1,0.5
270,33.7177,33.672,336.3,-0.30635,0.37315,7.81,42.71,33.426,30.004,334.8,1,0.5
271,30.1814,30.3476,339.36,-0.23225,0.22561,6.803,56.65,30.004,27.608,330.75,1,0.5
272,27.8248,27.8865,146.49,-0.77196,0.85926,6.9,62.1,27.608,20.8234,149.03,1,0.5
273,21.1386,21.4677,323.82,0.79675,-0.49338,1.767,44.01,20.8234,19.7807,319.96,1,0.5
274,20.433,19.7585,783.01,0.31375,0.69976,3.88,92.42,19.7807,33.6554,784.92,1,0.5
275,34.1606,33.8556,328.89,-0.22739,0.20689,3.595,90.22,33.6554,28.4971,327.76,1,0.5
276,29.0082,28.8353,291.16,-0.32151,0.21866,-0.569,46.39,28.4971,22.1339,290.64,1,0.5
277,22.5809,22.8172,313.97,-0.34562,0.34377,6.814,71.62,22.1339,22.6464,309.09,1,0.5
278,23.0161,23.1498,98.71,0.12402,-0.74687,7.939,75.83,22.6464,17.6655,100.01,1,0.5
279,18.136,17.8356,915.14,0.5086,0.7206,0.543,51.85,17.6655,34.5721,912.38,1,0.5
280,35.1424,34.686,307.89,-0.25149,0.19224,6.738,93.72,34.5721,29.9337,313.68,1,0.5
281,30.9085,30.8025,264.5,-0.39025,0.2695,1.868,49.22,29.9337,23.4213,272.09,1,0.5
282,23.6795,23.9049,43.31,0.45696,-0.91365,7.828,59.85,23.4213,16.2668,44.22,1,0.5
283,17.1165,16.8664,203.39,-0.12773,-0.35071,4.746,63.5,16.2668,15.4768,199.07,1,0.5
284,16.0508,16.1201,98.93,-0.23063,-0.63859,6.653,2.45,15.4768,12.9195,97.74,1,0.5
285,13.6563,13.6089,918.63,0.54164,0.69096,4.357,13.07,12.9195,31.1364,916.3,1,0.5
286,31.9089,32.0069,410.53,0.14728,-0.004,-4.191,24.44,31.1364,25.8467,401.65,1,0.5
287,26.3507,26.638,417.05,-0.23025,0.52774,5.831,59.17,25.8467,27.3198,413.36,1,0.5
288,27.3457,28.5915,66.88,0.44749,-0.8672,8.424,74.05,27.3198,19.1522,67.57,1,0.5
289,19.4272,19.763,784.8,0.22373,0.75653,4.082,40.2,19.1522,31.9555,755.56,1,0.5
290,32.3075,32.8661,61.04,0.66141,-0.8965,5.04,75.82,31.9555,19.2176,60.44,1,0.5
291,19.7343,19.8434,274.89,-0.26684,0.04289,6.099,44.23,19.2176,19.3705,268.76,1,0.5
292,20.2479,19.9214,724.99,0.74421,0.20424,5.035,2.33,19.3705,31.5557,738.31,1,0.5
293,32.3556,32.8859,51.7,-0.9055,0.5245,0.342,55.22,31.5557,15.9554,50.64,1,0.5
294,16.7057,16.6989,807.61,0.29452,0.78114,7.532,79.59,15.9554,32.117,810.46,1,0.5
295,32.3261,32.6059,357.67,-0.23485,0.36216,2.925,80.04,32.117,28.5557,366.36,1,0.5
296,29.115,29.5267,429.08,-0.34043,0.86389,-1.559,53.0,28.5557,26.6383,432.12,1,0.5
297,26.8389,26.8734,171.73,-0.5266,0.05527,6.441,100.64,26.6383,21.2424,175.6,1,0.5
298,21.9791,21.8938,919.37,0.80056,0.4514,4.285,47.7,21.2424,38.3211,918.59,1,0.5
299,38.6114,39.0263,232.17,-0.45329,0.2483,4.74,44.53,38.3211,28.1063,239.89,1,0.5
300,28.4221,28.1083,238.46,-0.49608,0.3706,7.006,72.46,28.1063,24.0675,242.77,1,0.5
301,24.6601,24.4337,482.36,0.16596,0.17038,1.52,41.16,24.0675,26.4497,479.66,1,0.5
302,27.2438,26.2381,198.9,-0.45369,0.0548,2.907,32.68,26.4497,19.6611,202.55,1,0.5
303,20.0004,19.9376,1109.62,0.611,0.93568,9.727,15.94,19.6611,40.0,1096.11,1,0.5
304,40.3104,40.5303,393.5,-0.14501,0.25643,-1.981,12.78,40.0,31.0051,377.59,1,0.5
305,31.8452,31.1996,50.06,-0.7885,-0.32339,3.269,49.66,31.0051,17.2576,50.3,1,0.5
306,17.7884,17.7787,64.85,-0.89811,0.84661,2.126,30.34,17.2576,10.717,66.13,1,0.5
307,11.3884,11.4477,32.19,-0.93224,0.36603,7.219,66.39,10.717,10.0331,32.53,1,0.5
308,10.7789,10.8319,893.49,0.45895,0.80896,3.791,60.82,10.0331,29.3478,927.67,1,0.5
309,29.6664,29.637,281.69,-0.31546,0.18111,-0.75,24.81,29.3478,22.1175,284.19,1,0.5
310,22.3853,22.7159,283.6,-0.3461,0.25668,8.968,63.24,22.1175,22.9626,288.84,1,0.5
311,23.6378,24.0075,348.56,-0.22379,0.27199,5.109,9.37,22.9626,22.9333,347.05,1,0.5
312,23.1689,23.8466,351.58,-0.28929,0.3848,4.893,47.99,22.9333,23.1234,345.94,1,0.5
313,23.6228,23.5868,377.22,0.08662,-0.00144,2.895,65.32,23.1234,23.6033,381.4,1,0.5
314,23.4456,24.4686,20.82,-0.07256,-0.93801,8.696,61.06,23.6033,16.1702,20.21,1,0.5
315,16.946,16.735,5.81,-0.91749,-0.8001,6.076,68.11,16.1702,11.1354,5.8,1,0.5
316,11.8768,11.5708,886.79,0.55552,0.62885,3.24,50.22,11.1354,29.1522,890.6,1,0.5
317,30.1868,29.9769,2.49,-0.99221,-0.10949,-0.401,87.86,29.1522,13.1006,2.44,1,0.5
318,13.438,13.341,1004.66,0.4825,0.90456,6.627,54.89,13.1006,33.8925,992.47,1,0.5
319,33.906,34.3789,425.92,0.33479,-0.08651,6.894,59.6,33.8925,33.1188,428.59,1,0.5
320,33.4727,33.4888,242.99,-0.46791,0.28918,11.062,15.3,33.1188,28.092,241.11,1,0.5
321,27.9665,28.6997,1022.71,0.72177,0.64614,3.86,8.02,28.092,40.0,996.25,1,0.5
322,40.5138,39.9571,355.66,-0.27987,0.34395,10.047,72.67,40.0,35.1638,340.19,1,0.5
323,35.8046,35.419,334.05,-0.30732,0.33813,6.92,79.47,35.1638,30.6307,325.8,1,0.5
324,30.8416,31.2688,324.68,-0.3087,0.33398,9.117,30.18,30.6307,28.5306,324.15,1,0.5
325,29.3289,29.1715,318.01,-0.38333,0.51587,9.23,56.19,28.5306,27.7424,328.58,1,0.5
326,28.4563,28.0793,84.08,0.13093,-0.78812,2.532,74.76,27.7424,16.6921,84.23,1,0.5
327,17.6155,17.4403,980.37,0.61163,0.79033,5.614,73.58,16.6921,37.5406,1014.2,1,0.5
328,37.6413,38.0383,380.18,-0.05624,0.164,7.471,37.94,37.5406,33.9337,386.14,1,0.5
329,34.7128,34.2681,407.19,-0.14626,0.32115,9.972,36.31,33.9337,33.1195,396.46,1,0.5
330,33.573,33.6028,697.31,0.02229,0.89729,9.399,33.66,33.1195,40.0,681.76,1,0.5
331,40.5016,40.6766,826.86,0.74147,0.3775,8.622,43.42,40.0,40.0,843.21,1,0.5
332,40.4736,40.5874,371.2,-0.13596,0.24864,2.129,78.94,40.0,33.3174,379.22,1,0.5
333,34.5352,33.8978,698.49,0.00636,0.98174,-0.693,75.73,33.3174,39.7714,701.01,1,0.5
334,39.9863,40.1446,173.52,-0.66412,0.48163,6.349,29.83,39.7714,27.1827,174.92,1,0.5
335,27.7184,27.5434,259.47,0.11008,-0.33181,4.186,49.6,27.1827,22.6234,260.72,1,0.5
336,23.2689,23.4932,252.09,-0.47734,0.3454,6.096,81.32,22.6234,20.9236,247.17,1,0.5
337,21.3571,21.8097,22.43,-0.00595,-0.93413,2.93,20.29,20.9236,11.486,23.02,1,0.5
338,11.413,12.1345,1101.18,0.63991,0.89543,1.904,48.73,11.486,34.3275,1092.58,1,0.5
339,34.8712,34.8908,97.02,-0.85509,0.88961,2.414,67.14,34.3275,20.0457,96.25,1,0.5
340,20.4928,20.5232,718.2,0.49494,0.37065,-3.585,56.05,20.0457,29.7508,720.24,1,0.5
341,29.9087,30.3035,16.4,-0.76611,-0.79335,5.203,52.3,29.7508,16.7143,16.99,1,0.5
342,17.6013,17.7667,862.74,0.40952,0.78304,5.539,38.29,16.7143,33.8177,883.4,1,0.5
343,33.9384,34.0344,324.0,-0.30256,0.25972,1.094,84.55,33.8177,26.7918,308.82,1,0.5
344,27.2213,27.5977,248.44,-0.38315,0.12236,9.176,32.94,26.7918,24.06,243.35,1,0.5
345,24.908,24.4419,280.62,-0.4052,0.33915,3.59,46.66,24.06,21.2188,279.98,1,0.5
346,21.2331,21.9804,342.89,-0.26685,0.37501,8.237,26.05,21.2188,23.5885,354.35,1,0.5
347,23.8802,24.6143,854.16,0.62503,0.47271,3.399,67.78,23.5885,37.9373,841.21,1,0.5
348,38.685,39.2277,299.31,-0.31638,0.25724,7.903,61.53,37.9373,31.6648,302.11,1,0.5
349,32.3316,32.4846,173.41,-0.58115,0.17564,6.396,29.78,31.6648,23.0645,173.09,1,0.5
350,23.6799,23.5319,363.87,0.63009,-0.35833,5.032,48.87,23.0645,23.8992,367.66,1,0.5
351,24.1634,24.2061,239.2,0.05057,-0.36456,8.301,63.51,23.8992,22.1273,234.65,1,0.5
352,22.5494,22.0526,357.84,-0.28913,0.47261,7.623,30.36,22.1273,24.2715,367.96,1,0.5
353,24.855,24.611,0.75,0.05808,-0.99802,3.097,42.71,24.2715,12.5604,0.74,1,0.5
354,12.6216,12.751,31.99,-0.95154,0.88273,7.259,66.86,12.5604,10.864,32.07,1,0.5
355,11.3667,11.6582,1029.64,0.74939,0.70848,10.526,88.49,10.864,34.0936,1050.56,1,0.5
356,34.8848,34.6162,368.72,-0.27693,0.41963,6.48,47.85,34.0936,30.7261,360.81,1,0.5
357,31.1758,31.0399,265.3,-0.40453,0.24323,6.741,64.64,30.7261,25.8254,260.22,1,0.5
358,26.5613,26.7981,310.84,-0.27566,0.21781,4.535,78.62,25.8254,23.8065,310.06,1,0.5
359,24.2882,25.2244,319.52,-0.23671,0.22166,3.981,32.2,23.8065,22.5622,327.77,1,0.5
360,22.7364,22.859,285.69,-0.24278,0.11565,6.53,80.59,22.5622,22.4953,296.94,1,0.5
361,22.6732,23.1142,196.67,0.62975,-0.66271,5.351,5.14,22.4953,18.3027,193.22,1,0.5
362,18.8944,18.8452,989.14,0.53035,0.85115,7.257,72.82,18.3027,38.6667,995.77,1,0.5
363,39.0475,38.9677,310.93,-0.50411,0.82804,2.547,58.43,38.6667,30.2884,318.64,1,0.5
364,30.5897,30.3664,337.76,-0.21915,0.24396,7.937,51.57,30.2884,28.5449,341.43,1,0.5
365,29.3513,29.2081,302.19,-0.298,0.18009,3.773,50.82,28.5449,24.1566,291.19,1,0.5
366,24.5111,25.2059,86.37,-0.80098,0.2125,4.997,5.3,24.1566,15.7676,84.82,1,0.5
367,15.9616,16.5371,878.99,0.43555,0.73238,2.834,54.49,15.7676,32.4212,874.15,1,0.5
368,33.1614,33.2381,127.64,0.95849,-0.80384,0.949,43.77,32.4212,19.5272,135.04,1,0.5
369,19.8006,20.4067,978.05,0.42493,0.96427,-0.301,78.43,19.5272,38.3114,983.83,1,0.5
370,38.8188,39.1622,363.52,-0.25775,0.3726,4.604,54.54,38.3114,32.3645,358.11,1,0.5
371,32.5136,32.8987,261.93,0.14146,-0.37169,4.116,0.0,32.3645,24.6766,252.09,1,0.5
372,25.2319,24.6966,282.93,-0.37363,0.30283,1.193,49.45,24.6766,20.7147,286.84,1,0.5
373,21.6377,21.0395,341.46,0.27108,-0.24056,11.094,49.35,20.7147,24.3101,339.31,1,0.5
374,24.8459,25.2737,424.2,-0.07003,0.29103,2.647,47.5,24.3101,25.2997,422.02,1,0.5
375,25.741,26.2148,84.47,-0.56886,-0.4602,1.036,41.06,25.2997,14.3902,81.8,1,0.5
376,15.0824,15.5895,104.11,-0.1806,-0.63611,4.823,97.8,14.3902,12.4371,104.81,1,0.5
377,13.1829,12.7983,856.35,0.34522,0.77346,8.747,63.75,12.4371,30.1705,838.57,1,0.5
378,30.0784,30.7061,715.7,0.31863,0.56184,4.189,64.79,30.1705,39.4522,723.91,1,0.5
379,40.2484,40.4026,201.96,-0.50447,0.17746,3.107,71.14,39.4522,26.8827,205.09,1,0.5
380,27.5033,27.4646,243.88,-0.43583,0.21591,4.489,50.26,26.8827,21.9981,241.12,1,0.5
381,22.4681,22.4693,397.32,0.87541,-0.39641,1.311,57.14,21.9981,22.7207,397.89,1,0.5
382,22.9702,23.1086,258.87,0.34666,-0.45878,8.779,47.62,22.7207,22.1827,256.19,1,0.5
383,22.8283,22.6599,143.66,-0.61398,0.08348,7.667,78.47,22.1827,18.6254,147.01,1,0.5
384,18.99,19.1851,43.72,-0.91408,0.44274,3.675,40.51,18.6254,11.6423,43.57,1,0.5
385,12.8838,11.8887,243.31,-0.65395,0.99203,4.13,50.08,11.6423,13.751,242.3,1,0.5
386,14.5087,13.7334,913.12,0.41428,0.79911,0.287,65.41,13.751,30.9439,894.37,1,0.5
387,31.0662,31.6657,71.97,-0.88617,0.83205,3.601,27.82,30.9439,17.9874,73.3,1,0.5
388,18.1389,18.2522,932.57,0.43349,0.89374,5.462,69.39,17.9874,36.9942,954.2,1,0.5
389,38.0421,37.3376,326.51,-0.24087,0.1984,8.985,36.87,36.9942,31.9961,319.77,1,0.5
390,32.7304,32.2522,300.6,-0.28682,0.17065,4.788,50.89,31.9961,26.5952,293.46,1,0.5
391,27.1657,27.0492,77.09,-0.42336,-0.60994,9.848,65.59,26.5952,19.8491,79.06,1,0.5
392,20.1019,20.5161,1005.09,0.55461,0.82426,6.001,53.71,19.8491,39.6738,996.86,1,0.5
393,40.161,39.9868,283.88,-0.36697,0.30518,2.822,57.39,39.6738,29.9174,290.42,1,0.5
394,30.2594,31.3269,406.08,-0.10278,0.28108,8.797,71.31,29.9174,30.7745,404.02,1,0.5
395,31.2062,31.3462,351.16,-0.31139,0.47767,3.807,57.45,30.7745,27.6547,357.66,1,0.5
396,28.2358,28.0756,68.29,-0.1213,-0.77575,6.255,47.32,27.6547,17.9515,69.26,1,0.5
397,18.0144,18.5537,158.86,-0.28959,-0.35584,4.845,60.93,17.9515,15.3349,160.85,1,0.5
398,15.5721,15.8467,1009.61,0.56886,0.89767,2.247,26.23,15.3349,36.3752,1046.48,1,0.5
399,37.1083,36.4258,42.65,-0.92538,0.608,7.589,53.54,36.3752,21.8091,42.18,1,0.5
400,22.0955,21.9005,274.35,-0.37232,0.26427,7.07,22.64,21.8091,21.3201,278.93,1,0.5
401,21.3935,21.7581,795.81,0.91936,0.18953,5.259,26.39,21.3201,35.0893,802.52,1,0.5
402,35.8967,35.4865,385.01,-0.18955,0.3429,3.279,73.27,35.0893,30.953,382.55,1,0.5
403,31.5969,31.1454,337.34,-0.30615,0.37041,8.063,39.03,30.953,28.6482,334.23,1,0.5
404,29.4533,29.1738,637.22,-0.02604,0.93259,1.049,74.17,28.6482,35.5164,661.62,1,0.5
405,35.5179,35.627,349.19,-0.48812,0.99882,5.765,38.16,35.5164,31.1349,359.64,1,0.5
406,31.8196,31.7986,1247.77,0.86678,0.87381,3.653,80.2,31.1349,40.0,1229.54,1,0.5
407,40.8292,40.5775,37.69,-0.82888,-0.37755,7.727,26.97,40.0,23.1098,37.44,1,0.5
408,23.7553,23.5964,364.29,-0.28142,0.41494,2.469,23.0,23.1098,22.3318,357.39,1,0.5
409,22.4103,22.7306,177.19,-0.26662,-0.2973,3.889,56.84,22.3318,17.5936,181.14,1,0.5
410,18.1258,18.0819,811.76,0.53951,0.52506,5.992,82.24,17.5936,33.4566,825.27,1,0.5
411,33.8626,33.617,5.14,-0.93426,-0.7678,8.244,43.48,33.4566,19.5952,5.37,1,0.5
412,20.3835,20.4865,648.57,0.35589,0.33392,2.701,42.01,19.5952,28.5274,635.74,1,0.5
413,28.8053,29.1106,638.76,0.38809,0.29482,0.923,71.47,28.5274,34.3779,631.76,1,0.5
414,34.7295,34.9234,315.11,0.0145,-0.15133,3.251,62.41,34.3779,27.6482,302.63,1,0.5
415,28.3133,28.3594,353.08,-0.2484,0.34846,7.818,69.52,27.6482,27.5741,356.25,1,0.5
416,27.7714,28.333,134.02,-0.72343,0.39727,3.481,62.95,27.5741,18.6598,135.84,1,0.5
417,19.1113,19.3935,633.98,0.38391,0.29593,8.406,65.48,18.6598,29.6405,630.4,1,0.5
418,30.4135,30.1301,305.92,-0.32613,0.3019,6.756,51.28,29.6405,26.6356,308.38,1,0.5
419,26.5699,26.6472,99.23,-0.40098,-0.53584,5.169,44.37,26.6356,17.7425,97.73,1,0.5
420,18.1381,18.2958,366.2,0.31801,-0.19477,10.063,65.64,17.7425,23.1383,373.05,1,0.5
421,23.8001,22.8272,272.64,-0.38057,0.26548,5.195,58.41,23.1383,21.4087,275.53,1,0.5
422,21.7222,21.6302,215.67,0.19248,-0.47193,1.941,53.31,21.4087,17.3311,221.34,1,0.5
423,17.9769,17.3703,932.36,0.51247,0.77448,5.09,44.34,17.3311,35.8805,943.37,1,0.5
424,35.9374,36.2971,286.16,-0.32792,0.2035,4.975,37.84,35.8805,28.4027,284.31,1,0.5
425,28.9704,28.7525,301.33,-0.4236,0.50265,10.635,36.62,28.4027,27.4057,304.44,1,0.5
426,27.4409,28.086,345.42,-0.10575,0.10467,1.779,15.47,27.4057,24.1486,347.23,1,0.5
427,24.3774,24.9641,329.52,-0.21751,0.2287,-0.575,40.11,24.1486,21.1874,337.95,1,0.5
428,21.2327,21.6753,395.53,-0.00325,0.17654,7.129,83.42,21.1874,25.1857,412.21,1,0.5
429,25.0271,25.969,333.72,-0.29345,0.31151,5.388,42.84,25.1857,23.9833,325.72,1,0.5
430,24.5243,24.5959,338.24,-0.39784,0.58144,5.024,47.69,23.9833,23.4507,334.73,1,0.5
431,24.0649,23.9828,377.86,-0.15965,0.26591,10.631,65.85,23.4507,26.7569,373.93,1,0.5
432,26.8731,27.2708,466.5,-0.1075,0.49823,3.046,52.0,26.7569,28.5014,470.01,1,0.5
433,29.0206,28.9901,354.41,-0.20214,0.24617,8.318,43.42,28.5014,27.8523,349.49,1,0.5
434,27.8779,28.0693,130.58,0.18435,-0.69111,10.823,64.42,27.8523,22.3673,128.59,1,0.5
435,22.7989,23.4864,305.83,-0.0581,-0.03984,5.305,21.75,22.3673,21.9405,317.89,1,0.5
436,22.8492,22.6056,216.12,0.03845,-0.41506,9.263,68.73,21.9405,21.0207,213.51,1,0.5
437,21.1279,21.7875,316.48,-0.29816,0.25011,-1.413,45.54,21.0207,18.1656,308.4,1,0.5
438,18.958,18.5944,952.11,0.52655,0.80895,7.623,71.63,18.1656,37.9406,970.65,1,0.5
439,38.0769,38.7644,346.57,-0.30418,0.40035,4.154,54.83,37.9406,31.4025,342.5,1,0.5
440,31.8331,32.3969,271.17,-0.41905,0.31615,4.269,76.44,31.4025,25.4377,268.76,1,0.5
441,25.8833,26.2604,242.36,-0.43938,0.23744,6.638,29.27,25.4377,22.1356,243.85,1,0.5
442,22.7426,22.6477,319.83,-0.23432,0.22726,6.339,48.8,22.1356,22.8415,330.3,1,0.5
443,23.2478,23.3078,227.8,-0.43236,0.14596,2.239,81.36,22.8415,18.6844,228.65,1,0.5
444,19.6527,19.0839,829.31,0.92857,0.24362,8.921,57.04,18.6844,35.1869,843.04,1,0.5
445,35.9458,35.4922,338.37,-0.25955,0.27336,5.531,57.04,35.1869,30.0436,331.42,1,0.5
446,31.0253,30.0324,285.41,-0.41847,0.40338,2.717,61.37,30.0436,24.4613,286.86,1,0.5
447,25.2393,24.9953,296.67,-0.38263,0.37177,4.365,58.2,24.4613,22.4193,297.68,1,0.5
448,22.5425,23.1746,92.83,-0.57961,-0.3815,9.144,83.53,22.4193,18.0277,91.39,1,0.5
449,18.7454,18.5835,264.35,-0.57465,0.81669,6.09,48.55,18.0277,18.8322,271.61,1,0.5
450,19.4994,19.9419,308.9,-0.24,0.15164,6.935,91.09,18.8322,20.9757,307.65,1,0.5
451,21.1686,21.6101,892.88,0.63473,0.4801,2.601,39.06,20.9757,35.7326,850.48,1,0.5
452,36.1196,36.9579,25.24,-0.63106,-0.81089,3.717,38.58,35.7326,18.6308,24.52,1,0.5
453,18.714,19.1192,1070.81,0.64681,0.87865,5.21,66.12,18.6308,40.0,1087.46,1,0.5
454,40.6935,40.7585,298.87,0.76669,-0.51187,3.262,40.73,40.0,30.6239,303.12,1,0.5
455,31.4814,31.4395,282.38,-0.36276,0.21166,6.045,44.69,30.6239,25.6363,271.4,1,0.5
456,26.1171,26.4935,367.25,-0.23692,0.37269,5.139,31.48,25.6363,25.3174,368.19,1,0.5
457,25.6215,25.4136,951.96,0.63945,0.59871,4.486,24.19,25.3174,40.0,921.28,1,0.5
458,40.0332,40.3821,280.27,-0.44773,0.44231,4.729,37.05,40.0,30.3947,279.98,1,0.5
459,31.3049,30.9991,58.26,-0.57761,-0.62208,9.289,55.13,30.3947,20.5165,56.11,1,0.5
460,20.9467,21.111,659.03,0.54024,0.25705,2.279,50.09,20.5165,30.4273,680.56,1,0.5
461,30.8766,31.0853,98.37,-0.47669,-0.44371,5.029,27.99,30.4273,19.4602,102.33,1,0.5
462,20.1304,19.9841,65.61,-0.88317,0.58006,0.917,89.47,19.4602,11.537,64.89,1,0.5
463,11.847,12.1653,925.24,0.52678,0.67873,5.41,41.03,11.537,30.0585,900.91,1,0.5
464,31.3465,30.3216,284.1,-0.43223,0.42828,7.155,48.29,30.0585,26.2907,285.04,1,0.5
465,26.581,26.5564,340.99,-0.30199,0.39629,1.814,25.46,26.2907,23.4569,342.58,1,0.5
466,24.1136,24.1574,318.78,-0.32783,0.34705,4.464,61.94,23.4569,22.5454,318.27,1,0.5
467,23.0013,23.1297,4.52,-0.95971,-0.6851,2.655,32.79,22.5454,11.5939,4.46,1,0.5
468,12.1077,12.2836,49.09,0.12814,-0.87681,7.805,68.22,11.5939,11.1399,48.85,1,0.5
469,11.7245,11.506,957.68,0.46252,0.8071,2.793,64.03,11.1399,30.149,928.99,1,0.5
470,30.5026,30.8386,815.3,0.87121,0.24872,2.981,40.52,30.149,40.0,821.33,1,0.5
471,41.3399,40.3105,39.09,0.37118,-0.92012,-0.0,68.0,40.0,19.2106,38.5,1,0.5
472,19.6572,19.8297,865.72,0.48552,0.67281,4.318,40.07,19.2106,35.3363,873.48,1,0.5
473,35.3003,36.1137,338.1,-0.21808,0.20773,7.278,56.06,35.3363,30.8881,331.94,1,0.5
474,31.5219,31.7152,26.33,-0.94356,0.35182,7.251,41.21,30.8881,18.5809,26.82,1,0.5
475,18.8,18.7973,904.52,0.53751,0.61476,6.38,48.58,18.5809,35.2885,872.67,1,0.5
476,36.194,35.6455,26.57,0.90586,-0.96004,1.353,43.41,35.2885,17.2319,26.77,1,0.5
477,18.1965,17.4153,896.27,0.56201,0.63404,7.167,20.46,17.2319,34.7506,897.16,1,0.5
478,35.5024,34.4631,359.99,-0.26989,0.39829,4.043,35.03,34.7506,29.9157,358.85,1,0.5
479,30.1662,30.3421,791.28,0.62058,0.40975,4.703,58.07,29.9157,40.0,803.04,1,0.5
480,40.8446,40.8696,327.34,-0.33003,0.39588,4.812,53.67,40.0,32.3537,328.72,1,0.5
481,32.8346,32.5162,350.82,-0.2769,0.32353,4.013,44.88,32.3537,27.8382,336.4,1,0.5
482,28.048,28.2968,346.36,-0.27182,0.35782,4.467,34.5,27.8382,25.7071,347.54,1,0.5
483,26.1115,25.5069,194.29,-0.00582,-0.4729,0.852,48.24,25.7071,17.8268,184.2,1,0.5
484,18.2986,18.2223,157.15,-0.61823,0.2166,7.599,33.78,17.8268,16.486,163.26,1,0.5
485,17.0134,17.2002,592.48,-0.14915,0.91805,1.553,50.21,16.486,24.3464,573.64,1,0.5
486,24.4913,25.0153,397.18,-0.13358,0.3315,-0.147,28.15,24.3464,23.5374,405.51,1,0.5
487,24.0427,23.7005,107.86,-0.00406,-0.68366,3.53,25.76,23.5374,15.6478,110.74,1,0.5
488,16.2436,15.9211,21.29,-0.84728,-0.59538,5.889,40.23,15.6478,10.9725,21.72,1,0.5
489,11.4893,10.7706,193.82,0.16249,-0.53155,3.759,44.76,10.9725,11.9278,191.42,1,0.5
490,12.1109,12.6205,896.83,0.43635,0.8321,0.205,22.64,11.9278,29.8914,924.99,1,0.5
491,30.5901,30.0792,88.46,-0.32068,-0.63929,4.307,17.64,29.8914,18.2128,86.13,1,0.5
492,18.2638,18.6179,106.65,-0.0094,-0.69507,12.267,40.49,18.2128,17.7082,106.18,1,0.5
493,18.0128,18.2119,442.53,0.1303,0.09653,6.186,56.46,17.7082,23.0945,435.65,1,0.5
494,23.861,23.6999,402.66,-0.37024,0.80474,0.735,21.32,23.0945,22.8891,399.5,1,0.5
495,23.7188,23.4236,353.73,-0.29319,0.44805,5.626,73.99,22.8891,24.0294,359.76,1,0.5
496,24.4381,24.5128,503.58,0.64311,-0.11522,7.109,74.74,24.0294,29.6571,511.01,1,0.5
497,30.145,29.5562,139.37,-0.46985,-0.26655,12.152,48.68,29.6571,24.0254,136.68,1,0.5
498,24.2974,24.3888,389.89,-0.16597,0.3517,3.113,33.42,24.0254,24.4049,396.26,1,0.5
499,24.833,24.9707,101.21,0.17227,-0.76245,2.016,29.11,24.4049,14.8974,97.89,1,0.5
