step,t_zone,co2,p_cool,p_fan,a0_raw,a1_raw,t_setpoint,fan_signal,t_zone_next,p_total,reward
2109,21.8709,471.54,0.0,0.0,0.71264,-0.04977,24.425,0.4751,19.9636,190.97,-0.83672
2110,19.9636,443.58,172.4,18.57,0.79833,0.97588,24.597,0.9879,19.1109,369.79,-1.52605
2111,19.1109,426.49,202.81,166.98,0.04591,0.87266,23.092,0.9363,18.8941,296.85,-1.69663
2112,18.8941,416.1,154.7,142.15,-1.0,0.92764,21.0,0.9638,18.6578,272.21,-1.88463
2113,18.6578,409.79,117.17,155.04,-0.95776,0.26877,21.084,0.6344,18.5647,110.41,-1.95262
2114,18.5647,405.95,66.2,44.21,-0.94888,0.7932,21.102,0.8966,18.2574,167.45,-2.20076
2115,18.2574,403.62,42.64,124.81,-0.23175,-0.60039,22.537,0.1998,18.1089,5.43,-2.3131
2116,18.1089,402.2,4.01,1.42,0.89237,-0.84291,24.785,0.0785,18.0812,1.31,-2.33507
2117,18.0812,401.34,1.17,0.14,0.76576,0.4269,24.532,0.7135,18.2289,93.06,-2.22058
2118,18.2289,400.81,30.17,62.89,0.65999,0.11876,24.32,0.5594,18.755,108.32,-1.80035
2119,18.755,400.49,78.01,30.31,0.27473,-0.74723,23.549,0.1264,22.0139,94.24,-0.00377
2120,22.0139,605.81,93.82,0.42,0.09774,0.24177,23.195,0.6209,21.3092,421.36,-0.01685
2121,21.3092,731.74,379.91,41.45,0.44129,0.95532,23.883,0.9777,21.4979,794.21,-0.03177
2122,21.4979,808.27,632.39,161.82,-0.14323,-0.92008,22.714,0.04,28.3735,76.67,-2.70183
2123,28.3735,854.8,76.64,0.03,-0.85382,-0.38813,21.292,0.3059,26.1416,465.48,-0.93189
2124,26.1416,883.07,460.52,4.96,0.79802,-0.28944,24.596,0.3553,26.2169,547.42,-0.99543
2125,26.2169,900.26,539.66,7.77,-0.48469,0.75413,22.031,0.8771,23.6538,1033.42,-0.04134
2126,23.6538,910.71,916.59,116.83,0.13624,-0.36719,23.272,0.3164,26.4333,498.69,-1.16655
2127,26.4333,917.06,493.21,5.49,0.95166,-0.48958,24.903,0.2552,26.6753,412.13,-1.3567
2128,26.6753,920.91,409.24,2.88,-1.0,0.9732,21.0,0.9866,22.5603,998.02,-0.03992
2129,22.5603,923.26,831.73,166.3,0.4969,-0.45384,23.994,0.2731,24.2201,317.34,-0.01269
2130,24.2201,719.18,313.82,3.53,-0.46742,0.28995,22.065,0.645,22.0325,526.93,-0.02108
2131,22.0325,594.0,480.47,46.46,0.9129,0.10334,24.826,0.5517,21.804,416.74,-0.01667
2132,21.804,517.92,387.66,29.07,0.55995,0.78426,24.12,0.8921,20.6097,553.04,-0.33438
2133,20.6097,471.67,430.09,122.95,-0.56291,-0.8177,21.874,0.0911,22.5327,76.52,-0.00306
2134,22.5327,443.56,76.33,0.19,-1.0,0.15686,21.0,0.5784,20.4793,298.45,-0.42852
2135,20.4793,426.48,264.94,33.51,0.02956,0.93,23.059,0.965,19.6389,447.79,-1.10682
2136,19.6389,416.09,292.18,155.61,-0.4505,-1.0,22.099,0.0,21.5627,0.0,0.0
2137,21.5627,409.76,0.0,0.0,0.99384,-0.96987,24.988,0.0151,21.1135,8.67,-0.00035
2138,21.1135,405.95,8.66,0.0,0.25057,0.23301,23.501,0.6165,19.3572,195.15,-1.32206
2139,19.3572,403.62,154.58,40.58,-0.11826,-0.56951,22.763,0.2152,19.5972,65.26,-1.12484
2140,19.5972,402.2,63.51,1.75,0.76753,-0.40249,24.535,0.2988,19.4129,82.61,-1.27295
2141,19.4129,401.34,77.99,4.62,0.56185,-0.32937,24.124,0.3353,19.5786,104.33,-1.1413
2142,19.5786,400.81,97.81,6.53,-0.31946,0.98109,22.361,0.9905,19.3167,409.3,-1.36297
2143,19.3167,400.49,241.0,168.3,0.95554,-1.0,24.911,0.0,24.9812,0.0,0.0
2144,24.9812,606.37,0.0,0.0,-0.68428,0.26338,21.631,0.6317,22.0922,521.52,-0.02086
2145,22.0922,731.64,477.87,43.65,0.11511,0.97763,23.23,0.9888,21.9385,887.24,-0.03549
2146,21.9385,808.22,719.82,167.42,-0.78496,0.36374,21.43,0.6819,23.3939,734.7,-0.02939
2147,23.3939,854.76,679.8,54.9,0.29568,0.63392,23.591,0.817,23.3457,901.72,-0.03607
2148,23.3457,883.05,807.3,94.42,-0.58403,-0.96231,21.832,0.0188,30.3199,42.98,-4.25766
2149,30.3199,900.25,42.97,0.01,-0.2197,-0.97406,22.561,0.013,30.8212,30.77,-4.65821
2150,30.8212,910.7,30.77,0.0,0.39025,0.33063,23.78,0.6653,24.1877,812.33,-0.03249
2151,24.1877,917.05,761.33,51.0,0.68363,-0.45033,24.367,0.2748,25.7027,395.05,-0.57795
2152,25.7027,920.92,391.46,3.6,0.15848,0.06662,23.317,0.5333,23.5233,570.93,-0.02284
2153,23.5233,923.26,544.66,26.27,-0.89199,0.98011,21.216,0.9901,21.1981,753.2,-0.03013
2154,21.1981,719.18,585.14,168.05,0.18261,-0.56502,23.365,0.2175,22.8425,196.35,-0.00785
2155,22.8425,594.0,194.55,1.81,0.99706,-0.23383,24.994,0.3831,21.474,255.55,-0.01022
2156,21.474,517.92,245.82,9.74,-0.04102,0.02415,22.918,0.5121,20.5439,263.87,-0.3754
2157,20.5439,471.67,240.62,23.25,-0.18048,0.12008,22.639,0.56,19.9682,234.05,-0.83483
2158,19.9682,443.56,203.63,30.42,1.0,0.48692,25.0,0.7435,19.361,258.11,-1.32149
2159,19.361,426.48,186.95,71.16,0.72612,-0.11517,24.452,0.4424,19.3753,127.34,-1.30489
2160,19.3753,416.09,112.35,15.0,0.99398,-0.33244,24.988,0.3338,19.2268,82.04,-1.42186
2161,19.2268,409.78,75.61,6.44,0.59631,0.34689,24.193,0.6734,18.7161,141.95,-1.83281
2162,18.7161,405.95,89.06,52.89,0.05374,-0.40065,23.107,0.2997,18.7623,46.85,-1.79202
2163,18.7623,403.61,42.19,4.66,-0.238,0.94012,22.524,0.9701,18.2758,207.49,-2.18764
2164,18.2758,402.2,49.42,158.07,-0.13643,-0.79385,22.727,0.1031,18.1825,3.72,-2.25417
2165,18.1825,401.34,3.47,0.25,-0.50089,-0.66933,21.998,0.1653,18.2181,7.5,-2.22584
2166,18.2181,400.81,6.66,0.84,0.51496,-0.78305,24.03,0.1085,18.754,15.4,-1.79738
2167,18.754,400.49,15.11,0.29,0.50024,-0.34082,24.0,0.3296,20.3548,149.69,-0.52213
2168,20.3548,605.81,143.49,6.2,-0.29531,0.72534,22.409,0.8627,20.2148,464.41,-0.64672
2169,20.2148,731.74,353.23,111.17,0.59152,0.39747,24.183,0.6987,21.3037,485.91,-0.01944
2170,21.3037,808.28,426.84,59.08,-0.00346,-0.04624,22.993,0.4769,22.7367,436.5,-0.01746
2171,22.7367,854.8,417.72,18.78,-0.71927,0.71067,21.561,0.8553,22.0817,754.03,-0.03016
2172,22.0817,883.08,645.67,108.36,0.20009,-0.97597,23.4,0.012,28.2088,22.69,-2.56796
2173,28.2088,900.26,22.69,0.0,-0.72195,0.8544,21.556,0.9272,22.2942,874.48,-0.03498
2174,22.2942,910.71,736.45,138.03,0.38709,-0.59435,23.774,0.2028,25.3277,276.4,-0.27324
2175,25.3277,917.06,274.92,1.48,0.83226,-0.26868,24.665,0.3657,23.7726,398.93,-0.01596
2176,23.7726,920.92,390.47,8.47,-0.83322,0.06308,21.334,0.5315,22.5031,468.82,-0.01875
2177,22.5031,923.26,442.81,26.01,0.38356,0.1301,23.767,0.5651,21.2004,365.56,-0.01462
2178,21.2004,719.18,334.32,31.24,-0.75148,0.99388,21.497,0.9969,19.9659,533.83,-0.84863
2179,19.9659,594.0,362.25,171.58,-0.14712,-0.13793,22.706,0.431,20.4845,211.78,-0.42089
2180,20.4845,517.92,197.91,13.87,-0.72222,0.70492,21.556,0.8525,19.5278,347.96,-1.19172
2181,19.5278,471.67,240.69,107.27,0.83687,-0.90142,24.674,0.0493,20.8016,25.58,-0.15974
2182,20.8016,443.56,25.53,0.05,-0.71464,-0.21613,21.571,0.3919,19.5659,123.86,-1.1522
2183,19.5659,426.48,113.44,10.43,0.62645,0.4414,24.253,0.7207,18.9516,191.59,-1.64635
2184,18.9516,416.09,126.77,64.82,-0.67994,-0.30618,21.64,0.3469,19.0274,73.11,-1.58102
2185,19.0274,409.78,65.88,7.23,-0.17635,-0.86092,22.647,0.0695,19.0867,14.08,-1.53122
2186,19.0867,405.95,13.97,0.1,-0.3067,0.43755,22.387,0.7188,18.3458,110.26,-2.12773
2187,18.3458,403.61,45.95,64.31,-0.06948,-0.01912,22.861,0.4904,18.1769,36.46,-2.25994
2188,18.1769,402.2,16.03,20.43,0.23317,-1.0,23.466,0.0,18.214,0.0,-2.22881
2189,18.214,401.33,0.0,0.0,-0.8804,-0.54233,21.239,0.2288,18.283,14.07,-2.17416
2190,18.283,400.81,11.97,2.09,-0.56257,0.9064,21.875,0.9532,18.3757,216.18,-2.10807
2191,18.3757,400.49,66.2,149.98,-0.7683,0.54134,21.463,0.7707,19.3072,265.67,-1.36489
2192,19.3072,605.81,186.41,79.26,-0.67381,0.32419,21.652,0.6621,19.7925,269.93,-0.97679
2193,19.7925,731.74,219.67,50.26,-0.3145,0.09925,22.371,0.5496,20.3044,263.25,-0.56702
2194,20.3044,808.28,234.5,28.75,0.44625,-0.53308,23.892,0.2335,21.6302,159.17,-0.00637
2195,21.6302,854.8,156.95,2.22,-0.44922,0.45994,22.102,0.73,20.372,388.01,-0.51793
2196,20.372,883.08,320.65,67.36,-0.58953,0.45237,21.821,0.7262,20.4033,389.53,-0.49291
2197,20.4033,900.27,323.21,66.31,-0.77167,-0.75886,21.457,0.1206,22.4162,99.01,-0.00396
2198,22.4162,910.71,98.64,0.37,-0.8895,-0.313,21.221,0.3435,21.0747,202.7,-0.00811
2199,21.0747,917.06,195.68,7.02,0.05901,1.0,23.118,1.0,19.6092,471.37,-1.13148
2200,19.6092,920.92,298.2,173.17,-0.48547,-0.24857,22.029,0.3757,20.2055,162.76,-0.64211
2201,20.2055,923.27,153.57,9.18,0.49723,-0.10488,23.994,0.4476,18.915,91.31,-1.67166
2202,18.915,719.18,75.78,15.52,0.15156,0.76246,23.303,0.8812,18.3309,172.44,-2.14221
2203,18.3309,594.01,53.93,118.51,-0.88124,-0.69203,21.238,0.154,18.242,7.56,-2.20673
2204,18.242,517.92,6.87,0.69,0.64895,-0.13232,24.298,0.4338,17.8968,14.14,-2.48316
2205,17.8968,471.67,0.0,14.14,0.25237,-0.74993,23.505,0.125,17.497,0.41,-2.8024
2206,17.497,443.56,0.0,0.41,0.97555,0.38279,24.951,0.6914,17.4792,57.23,-2.81893
2207,17.4792,426.48,0.0,57.23,-0.64293,0.33254,21.714,0.6663,17.2359,51.22,-3.01336
2208,17.2359,416.09,0.0,51.22,-0.05614,-0.93035,22.888,0.0348,16.0207,0.02,-3.98343
2209,16.0207,409.78,0.0,0.02,-0.99283,-0.04564,21.014,0.4772,16.5882,18.82,-3.53018
2210,16.5882,405.95,0.0,18.82,-1.0,-0.67548,21.0,0.1623,15.7598,0.8,-4.19223
2211,15.7598,403.61,0.0,0.8,0.62908,-1.0,24.258,0.0,15.0,0.0,-4.97295
2212,15.0,402.19,0.0,0.0,-0.04096,-0.19027,22.918,0.4049,15.8833,11.49,-4.0938
2213,15.8833,401.34,0.0,11.49,-0.54453,-0.36079,21.911,0.3196,15.5622,5.65,-4.35044
2214,15.5622,400.81,0.0,5.65,0.66462,-0.48492,24.329,0.2575,15.2745,2.96,-4.58052
2215,15.2745,400.49,0.0,2.96,-0.66461,-1.0,21.671,0.0,15.4815,0.0,-4.41481
2216,15.4815,606.37,0.0,0.0,0.26394,-0.33011,23.528,0.3349,16.7108,6.51,-3.43163
2217,16.7108,731.64,0.0,6.51,0.67381,1.0,24.348,1.0,17.4014,173.17,-2.88577
2218,17.4014,808.22,0.0,173.17,0.43734,-0.27054,23.875,0.3647,17.2224,8.4,-3.02239
2219,17.2224,854.77,0.0,8.4,-0.88041,-0.07846,21.239,0.4608,17.6825,16.94,-2.65471
2220,17.6825,883.06,0.0,16.94,-0.69352,0.35516,21.613,0.6776,18.049,60.01,-2.36321
2221,18.049,900.26,6.14,53.87,-0.65721,-0.81672,21.686,0.0916,18.2295,4.09,-2.21657
2222,18.2295,910.71,3.89,0.19,-0.50492,0.86728,21.99,0.9336,18.0535,150.17,-2.36322
2223,18.0535,917.06,9.24,140.93,-0.0819,-1.0,22.836,0.0,17.9257,0.0,-2.45944
2224,17.9257,920.94,0.0,0.0,-0.1415,0.55129,22.717,0.7756,17.7801,80.81,-2.57914
2225,17.7801,923.28,0.0,80.81,0.25019,0.70412,23.5,0.8521,16.9622,107.13,-3.23454
2226,16.9622,719.19,0.0,107.13,0.35848,0.25237,23.717,0.6262,16.4826,42.52,-3.61559
2227,16.4826,594.02,0.0,42.52,-0.82366,0.12603,21.353,0.563,16.1844,30.91,-3.85374
2228,16.1844,517.93,0.0,30.91,-0.48485,0.38025,22.03,0.6901,16.2075,56.92,-3.83629
2229,16.2075,471.68,0.0,56.92,0.33142,1.0,23.663,1.0,16.4432,173.17,-3.65236
2230,16.4432,443.57,0.0,173.17,-0.74717,0.14548,21.506,0.5727,15.6798,32.54,-4.2575
2231,15.6798,426.48,0.0,32.54,-0.80768,0.51421,21.385,0.7571,15.8566,75.15,-4.11772
2232,15.8566,416.1,0.0,75.15,0.96376,-0.27206,24.928,0.364,15.0,8.35,-5.04483
2233,15.0,409.78,0.0,8.35,-0.98544,-1.0,21.029,0.0,15.0,0.0,-7.02979
2234,15.0,405.94,0.0,0.0,0.87228,0.6345,24.745,0.8173,15.5236,94.53,-4.38493
2235,15.5236,403.62,0.0,94.53,-0.60165,0.62465,21.797,0.8123,15.4576,92.83,-4.4376
2236,15.4576,402.2,0.0,92.83,-0.56474,0.11115,21.871,0.5556,15.0,29.7,-4.93708
2237,15.0,401.34,0.0,29.7,-0.46645,0.23104,22.067,0.6155,15.1907,40.38,-4.64903
2238,15.1907,400.81,0.0,40.38,-0.2858,-0.97188,22.428,0.0141,15.0,0.0,-6.81949
2239,15.0,400.49,0.0,0.0,-0.15286,0.13648,22.694,0.5682,16.8353,31.77,-3.33301
2240,16.8353,605.81,0.0,31.77,0.41464,1.0,23.829,1.0,17.7786,173.18,-2.58402
2241,17.7786,731.74,0.0,173.18,-0.95519,0.75978,21.09,0.8799,18.3643,177.29,-2.11565
2242,18.3643,808.29,59.32,117.97,-1.0,-0.56496,21.0,0.2175,19.6253,67.23,-1.10247
2243,19.6253,854.81,65.43,1.81,0.07502,-0.06952,23.15,0.4652,19.8163,173.81,-0.95394
2244,19.8163,883.09,156.37,17.44,0.98064,-0.73722,24.961,0.1314,21.2122,78.57,-0.00314
2245,21.2122,900.28,78.11,0.46,0.15288,0.6162,23.306,0.8081,19.6754,341.95,-1.07333
2246,19.6754,910.73,250.57,91.39,-0.92212,0.24941,21.156,0.6247,19.7446,243.93,-1.01409
2247,19.7446,917.08,201.71,42.22,0.23396,0.45376,23.468,0.7269,19.3554,248.86,-1.32564
2248,19.3554,920.94,182.35,66.51,-0.21178,1.0,22.576,1.0,18.8706,334.32,-1.71688
2249,18.8706,923.29,161.15,173.18,-0.35858,0.78719,22.283,0.8936,18.1145,142.45,-2.31406
2250,18.1145,719.2,18.88,123.57,0.88144,-0.95662,24.763,0.0217,17.6874,0.01,-2.65011
2251,17.6874,594.02,0.0,0.01,-0.76246,0.3523,21.475,0.6762,17.5524,53.53,-2.76021
2252,17.5524,517.93,0.0,53.53,-1.0,0.2776,21.0,0.6388,17.2853,45.14,-2.97355
2253,17.2853,471.68,0.0,45.14,0.86217,0.30411,24.724,0.6521,17.0514,48.01,-3.16079
2254,17.0514,443.57,0.0,48.01,-0.95947,1.0,21.081,1.0,17.0941,173.18,-3.13166
2255,17.0941,426.48,0.0,173.18,-0.58576,-0.30256,21.828,0.3487,16.1731,7.34,-3.86184
2256,16.1731,416.1,0.0,7.34,-1.0,-1.0,21.0,0.0,15.0,0.0,-5.09288
2257,15.0,409.77,0.0,0.0,-0.05684,0.43525,22.886,0.7176,16.3009,64.0,-3.76184
2258,16.3009,405.95,0.0,64.0,-0.62232,0.01733,21.755,0.5087,15.8303,22.79,-4.13665
2259,15.8303,403.62,0.0,22.79,0.35547,0.62241,23.711,0.8112,16.2168,92.45,-3.83026
2260,16.2168,402.2,0.0,92.45,-0.15886,-0.75208,22.682,0.124,15.0,0.4,-5.35371
2261,15.0,401.34,0.0,0.4,0.68927,0.94128,24.379,0.9706,16.5702,158.37,-3.55015
2262,16.5702,400.81,0.0,158.37,0.49233,-0.73161,23.985,0.1342,15.2858,0.49,-4.57139
2263,15.2858,400.49,0.0,0.49,-0.60546,-0.63154,21.789,0.1842,17.876,1.13,-2.49921
2264,17.876,605.81,0.0,1.13,0.26358,-0.08244,23.527,0.4588,18.9103,93.98,-1.67551
2265,18.9103,731.74,77.26,16.72,-0.78494,-0.18387,21.43,0.4081,20.0487,166.41,-0.76766
2266,20.0487,808.29,154.64,11.77,0.15524,-0.77946,23.31,0.1103,22.3033,88.1,-0.00352
2267,22.3033,854.82,87.8,0.3,-0.59883,-0.2537,21.802,0.3731,21.9888,284.37,-0.01137
2268,21.9888,883.1,275.38,9.0,-0.74016,0.97636,21.52,0.9882,20.7576,671.32,-0.22075
2269,20.7576,900.29,504.21,167.11,0.51646,0.7809,24.033,0.8904,20.93,605.1,-0.08023
2270,20.93,910.74,482.82,122.27,0.97312,0.84017,24.946,0.9201,20.7014,594.98,-0.26267
2271,20.7014,917.09,460.09,134.89,-1.0,0.35277,21.0,0.6764,20.8643,412.33,-0.12502
2272,20.8643,920.95,358.74,53.59,-0.58463,-0.3606,21.831,0.3197,21.4627,210.7,-0.00843
2273,21.4627,923.3,205.04,5.66,1.0,0.51546,25.0,0.7577,19.4326,276.27,-1.26496
2274,19.4326,719.21,200.93,75.34,-0.58634,-0.09539,21.827,0.4523,19.3511,129.13,-1.32431
2275,19.3511,594.03,113.1,16.02,0.88223,0.903,24.764,0.9515,18.6751,268.05,-1.87066
2276,18.6751,517.94,118.87,149.18,-0.30901,-0.73832,22.382,0.1308,18.9927,24.48,-1.6068
2277,18.9927,471.69,24.02,0.46,-0.92741,-0.41285,21.145,0.2936,18.4613,29.42,-2.03215
2278,18.4613,443.57,25.04,4.38,-0.7838,-0.01026,21.432,0.4949,18.1118,31.19,-2.31181
2279,18.1118,426.49,10.21,20.99,-0.76572,-0.24787,21.469,0.3761,17.8628,9.21,-2.51016
2280,17.8628,416.1,0.0,9.21,-0.4216,0.05343,22.157,0.5267,17.6499,25.31,-2.68112
2281,17.6499,409.79,0.0,25.31,0.71365,0.81798,24.427,0.909,17.556,130.07,-2.76044
2282,17.556,405.95,0.0,130.07,-0.76508,-0.12455,21.47,0.4377,17.1015,14.52,-3.11942
2283,17.1015,403.62,0.0,14.52,-0.11521,0.51137,22.77,0.7557,17.1087,74.73,-3.11603
2284,17.1087,402.2,0.0,74.73,-0.70291,-1.0,21.594,0.0,15.9491,0.0,-4.04075
2285,15.9491,401.33,0.0,0.0,0.67249,0.73962,24.345,0.8698,17.436,113.97,-2.85574
2286,17.436,400.81,0.0,113.97,-0.89506,-1.0,21.21,0.0,17.3993,0.0,-2.88054
2287,17.3993,400.49,0.0,0.0,0.51435,-0.99639,24.029,0.0018,20.8959,1.04,-0.08334
2288,20.8959,605.87,1.04,0.0,-0.22267,0.03774,22.555,0.5189,20.4753,261.9,-0.43021
2289,20.4753,731.72,237.71,24.19,-0.68492,0.99367,21.63,0.9968,20.4416,622.0,-0.47163
2290,20.4416,808.28,450.46,171.54,0.93666,0.82648,24.873,0.9132,21.1416,662.98,-0.02652
2291,21.1416,854.81,531.08,131.9,-0.63112,0.05133,21.738,0.5257,22.6968,482.23,-0.01929
2292,22.6968,883.1,457.07,25.15,-0.57704,0.42364,21.846,0.7118,22.3535,636.21,-0.02545
2293,22.3535,900.29,573.75,62.46,-0.12699,0.9959,22.746,0.9979,21.5769,833.04,-0.03332
2294,21.5769,910.74,660.92,172.12,0.73365,-0.55556,24.467,0.2222,24.3849,264.64,-0.01059
2295,24.3849,917.09,262.72,1.92,-0.98349,0.93015,21.033,0.9651,21.2096,729.2,-0.02917
2296,21.2096,920.95,573.54,155.66,0.44086,-0.88681,23.882,0.0566,24.9344,72.73,-0.00291
2297,24.9344,923.3,72.66,0.07,-0.30323,-0.50114,22.394,0.2494,21.9365,184.33,-0.00737
2298,21.9365,719.21,181.63,2.69,-0.50816,0.96797,21.984,0.984,19.8953,509.93,-0.90416
2299,19.8953,594.03,344.94,164.99,0.90981,-0.98343,24.82,0.0083,22.1035,6.26,-0.00025
2300,22.1035,517.93,6.26,0.0,0.2097,-0.64977,23.419,0.1751,20.8274,92.51,-0.14175
2301,20.8274,471.69,91.52,0.98,0.22406,0.28212,23.448,0.6411,19.4878,221.93,-1.21863
2302,19.4878,443.58,176.31,45.62,0.9039,0.36742,24.808,0.6837,19.1583,201.71,-1.48141
2303,19.1583,426.49,146.36,55.35,0.97247,0.71652,24.945,0.8583,18.8114,238.17,-1.76038
2304,18.8114,416.1,128.68,109.48,-0.15226,0.10903,22.695,0.5545,18.7769,109.1,-1.78286
2305,18.7769,409.79,79.57,29.53,0.6426,0.1788,24.285,0.5894,18.5358,93.79,-1.97511
2306,18.5358,405.95,58.33,35.46,-0.44674,-0.16466,22.107,0.4177,18.3952,43.1,-2.08558
2307,18.3952,403.62,30.48,12.62,0.10457,-0.50895,23.209,0.2455,18.224,12.72,-2.2213
2308,18.224,402.2,10.15,2.57,-0.15759,-0.52967,22.685,0.2352,18.0476,4.33,-2.36209
2309,18.0476,401.34,2.06,2.27,-0.70199,-0.77765,21.596,0.1112,18.1049,2.46,-2.31621
2310,18.1049,400.81,2.15,0.31,-0.13737,0.72665,22.725,0.8633,18.2848,156.85,-2.17844
2311,18.2848,400.49,45.41,111.43,0.67887,0.60585,24.358,0.8029,19.3547,290.73,-1.32787
2312,19.3547,605.81,201.09,89.64,0.41853,-0.95327,23.837,0.0234,22.9561,21.45,-0.00086
2313,22.9561,731.75,21.44,0.01,0.64154,-0.92899,24.283,0.0355,24.3544,41.77,-0.00167
2314,24.3544,808.29,41.74,0.03,-0.16336,0.52286,22.673,0.7614,21.3741,551.58,-0.02206
2315,21.3741,854.82,475.13,76.45,-0.77635,0.10047,21.447,0.5502,22.3789,474.47,-0.01898
2316,22.3789,883.1,445.62,28.85,0.52605,0.02134,24.052,0.5107,22.7542,472.1,-0.01888
2317,22.7542,900.29,449.04,23.06,0.55418,-0.16835,24.108,0.4158,23.262,417.16,-0.01669
2318,23.262,910.74,404.71,12.45,0.62955,0.69525,24.259,0.8476,21.6631,679.75,-0.02719
2319,21.6631,917.09,574.28,105.47,-0.34646,1.0,22.307,1.0,21.0591,738.97,-0.02956
2320,21.0591,920.95,565.79,173.18,-0.27537,0.1884,22.449,0.5942,21.5573,427.29,-0.01709
2321,21.5573,923.3,390.96,36.33,0.08386,-0.71297,23.168,0.1435,21.8654,103.06,-0.00412
2322,21.8654,719.21,102.48,0.58,-0.60075,-0.2309,21.798,0.3846,20.4567,184.39,-0.44201
2323,20.4567,594.03,174.55,9.85,-0.52971,-1.0,21.941,0.0,21.2133,0.0,0.0
2324,21.2133,517.73,0.0,0.0,-1.0,-0.86607,21.0,0.067,20.2757,28.27,-0.58056
2325,20.2757,471.72,28.17,0.1,-0.61546,0.19916,21.769,0.5996,18.8967,136.71,-1.6881
2326,18.8967,443.6,99.38,37.33,1.0,0.70049,25.0,0.8502,18.4447,176.34,-2.05129
2327,18.4447,426.5,69.9,106.45,-0.75071,0.90181,21.499,0.9509,18.1714,179.04,-2.27003
2328,18.1714,416.11,30.13,148.9,0.23213,-0.7975,23.464,0.1012,17.8968,0.24,-2.48258
2329,17.8968,409.79,0.0,0.24,0.80101,0.9871,24.602,0.9935,17.7453,169.85,-2.61052
2330,17.7453,405.95,0.0,169.85,-0.85564,1.0,21.289,1.0,17.5693,173.18,-2.75145
2331,17.5693,403.62,0.0,173.18,0.93884,0.56536,24.878,0.7827,17.3081,83.03,-2.95681
2332,17.3081,402.2,0.0,83.03,0.94807,1.0,24.896,1.0,17.3555,173.18,-2.92251
2333,17.3555,401.34,0.0,173.18,0.69525,-0.83393,24.391,0.083,16.677,0.15,-3.45839
2334,16.677,400.81,0.0,0.15,-0.99658,-0.91498,21.007,0.0425,17.2213,0.04,-3.02297
2335,17.2213,400.49,0.0,0.04,-0.5143,-0.42348,21.971,0.2883,19.493,83.77,-1.20895
2336,19.493,605.81,79.62,4.15,0.27081,0.73449,23.542,0.8672,19.598,369.26,-1.13638
2337,19.598,731.75,256.3,112.96,-0.64939,0.99793,21.701,0.999,20.2095,580.87,-0.6556
2338,20.2095,808.29,408.23,172.64,0.51239,0.77482,24.025,0.8874,21.0169,616.19,-0.02465
2339,21.0169,854.82,495.16,121.02,-0.13497,-0.977,22.73,0.0115,26.5696,18.23,-1.25639
2340,26.5696,883.1,18.23,0.0,-0.53742,0.31748,21.925,0.6587,22.6217,612.61,-0.0245
2341,22.6217,900.29,563.11,49.5,0.38079,0.9034,23.762,0.9517,21.8397,825.18,-0.03301
2342,21.8397,910.74,675.9,149.28,-0.3506,0.01607,22.299,0.508,23.0447,496.76,-0.01987
2343,23.0447,917.09,474.05,22.71,0.53643,-0.76513,24.073,0.1174,25.5658,164.69,-0.4592
2344,25.5658,920.95,164.34,0.35,0.0534,0.72296,23.107,0.8615,21.4999,668.42,-0.02674
2345,21.4999,923.3,557.7,110.72,-0.40858,0.71602,22.183,0.858,20.579,518.43,-0.35754
2346,20.579,719.21,409.04,109.39,-0.35727,0.99925,22.285,0.9996,20.0189,545.96,-0.80669
2347,20.0189,594.03,372.98,172.99,-0.83462,-0.95369,21.331,0.0232,22.3496,18.61,-0.00074
2348,22.3496,517.94,18.6,0.01,-0.83103,0.64868,21.338,0.8243,19.6947,355.16,-1.05841
2349,19.6947,471.69,258.15,97.01,-0.62185,1.0,21.756,1.0,19.2162,397.93,-1.44293
2350,19.2162,443.58,224.75,173.18,0.58977,-0.0898,24.18,0.4551,19.46,139.11,-1.23758
2351,19.46,426.49,122.79,16.32,0.04614,-0.65979,23.092,0.1701,19.5898,50.89,-1.13017
2352,19.5898,416.1,49.98,0.91,0.13619,0.82709,23.272,0.9135,18.6057,234.3,-1.92483
2353,18.6057,409.79,102.26,132.04,1.0,0.17342,25.0,0.5867,18.5408,93.62,-1.9711
2354,18.5408,405.95,58.65,34.98,-0.9033,-0.81328,21.193,0.0934,18.6154,10.82,-1.90814
2355,18.6154,403.62,10.62,0.2,-0.89285,0.67173,21.214,0.8359,18.1323,121.58,-2.299
2356,18.1323,402.2,20.44,101.14,0.93093,0.31126,24.862,0.6556,18.0436,54.09,-2.36732
2357,18.0436,401.34,5.29,48.81,-0.45318,0.6776,22.094,0.8388,18.036,107.8,-2.37552
2358,18.036,400.81,5.59,102.21,-0.34856,-0.42619,22.303,0.2869,18.2529,17.51,-2.1984
2359,18.2529,400.49,13.42,4.09,0.80345,0.60124,24.607,0.8006,19.066,246.8,-1.55708
2360,19.066,605.81,157.93,88.87,-0.17789,1.0,22.644,1.0,19.2754,409.22,-1.39602
2361,19.2754,731.75,236.04,173.18,0.85174,1.0,24.703,1.0,19.6632,481.03,-1.08866
2362,19.6632,808.29,307.85,173.18,-0.5217,0.60612,21.957,0.8031,20.4901,459.84,-0.42633
2363,20.4901,854.82,370.15,89.69,0.35721,1.0,23.714,1.0,20.7648,684.93,-0.21559
2364,20.7648,883.1,511.75,173.18,0.46799,-0.84281,23.936,0.0786,25.8565,114.41,-0.68974
